Replicon Accession	Start	Stop	Strand	Locus tag	Length
NW_013524646.1	1005	3989	-	NEPG_00001	994
NW_013524646.1	4946	7570	-	NEPG_00002	874
NW_013524646.1	8221	11145	-	NEPG_00003	974
NW_013524646.1	11759	12361	-	NEPG_00004	200
NW_013524646.1	13430	13921	-	NEPG_00005	163
NW_013524646.1	14245	15654	-	NEPG_00006	469
NW_013524646.1	15771	16025	-	NEPG_00007	84
NW_013524646.1	16064	16261	-	NEPG_00008	65
NW_013524646.1	16709	17983	-	NEPG_00009	424
NW_013524646.1	19874	20134	-	NEPG_00010	86
NW_013524646.1	20212	21738	-	NEPG_00011	508
NW_013524646.1	22711	23424	+	NEPG_00012	237
NW_013524646.1	23847	26648	-	NEPG_00013	933
NW_013524646.1	27896	28630	-	NEPG_00014	245
NW_013524646.1	28879	29079	-	NEPG_00015	66
NW_013524646.1	29842	30468	+	NEPG_00016	208
NW_013524646.1	30559	31188	+	NEPG_00017	209
NW_013524646.1	31211	32218	+	NEPG_00018	335
NW_013524646.1	32256	32495	+	NEPG_00019	79
NW_013524646.1	32510	32707	+	NEPG_00020	65
NW_013524646.1	33563	34738	-	NEPG_00021	391
NW_013524646.1	34891	36432	+	NEPG_00022	513
NW_013524646.1	36538	37143	+	NEPG_00023	201
NW_013524646.1	41468	42703	+	NEPG_00024	411
NW_013524646.1	43532	43888	+	NEPG_00025	118
NW_013524646.1	44111	44965	-	NEPG_00026	284
NW_013524646.1	45435	47069	+	NEPG_00027	544
NW_013524646.1	47655	49301	-	NEPG_00028	548
NW_013524646.1	49789	51042	+	NEPG_00029	417
NW_013524646.1	52322	55177	+	NEPG_00030	951
NW_013524646.1	56018	58831	+	NEPG_00031	937
NW_013524646.1	60052	60792	-	NEPG_00032	246
NW_013524646.1	61180	64665	-	NEPG_00033	1161
NW_013524646.1	64871	66499	-	NEPG_00034	542
NW_013524646.1	66519	67862	-	NEPG_00035	447
NW_013524646.1	68014	68181	-	NEPG_00036	55
NW_013524646.1	68235	68426	-	NEPG_00037	63
NW_013524646.1	68650	70839	-	NEPG_00038	729
NW_013524646.1	71305	71676	-	NEPG_00039	123
